club_name,aliases,logo_url,logo_path,primary_color,secondary_color,color_source,notes
Agawam Boy's Youth Lacrosse,Agawam Boy's Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/f84d689b-35c1-40d9-ab45-2677dfdc4545.png?versionId=8V1ItlnY_F30jyihlhDpT9rEVaNo0PrG,assets/logos/agawam_boy_s_youth_lacrosse.png,#c04020,#e04020,extracted_logo,Parsed from CVYL club listing.
Amherst Youth Lacrosse,Amherst Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/b4532904-ba4f-4c09-b240-427081d6aaa5.jpg?versionId=zZUuOPDUjiRKcbu_WxBwnrNHui7U3KXo,assets/logos/amherst_youth_lacrosse.jpg,#402020,#604040,extracted_logo,Parsed from CVYL club listing.
Avon Youth Lacrosse,Avon; Avon 12U; Avon 12U A; Avon 12U B; Avon Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/34e825e4-d2e5-462c-ad0e-4621a672391d.webp?versionId=Js6ipRVR5Gh3VNy9TdJDyJ9Z4Gx8pswc,assets/logos/avon_youth_lacrosse.webp,#002040,#c00020,extracted_logo,Initial manual club mapping for CVYL U12 Boys branding review.; Parsed from CVYL club listing.
Belchertown Lacrosse Association,Belchertown Lacrosse Association,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/8de025bc-5f9b-4e8c-a438-2bb200c98f07.jpeg?versionId=vmTNhopoebozagvHX4cPRAnVmTIa8dbc,assets/logos/belchertown_lacrosse_association.jpeg,#a06040,#e0e0c0,extracted_logo,Parsed from CVYL club listing.
Berkshire County Youth Lacrosse,Berkshire County Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/4db24fbc-d23c-4174-922a-7cd4eb1c3a2b.jpeg?versionId=KEhBYev9vQJz4sJhBmDEoVQmmSLSr0xS,assets/logos/berkshire_county_youth_lacrosse.jpeg,#e0c000,#e0c020,extracted_logo,Parsed from CVYL club listing.
Berlin Youth Lacrosse,Berlin Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/430aeb8b-bbbc-492f-ae3b-803579e610d8.jpg?versionId=Flve9_nyaFR_A_IOIkBQ9USxwhxk_Nwe,assets/logos/berlin_youth_lacrosse.jpg,#e0c0c0,#602020,extracted_logo,Parsed from CVYL club listing.
Bristol Youth Lacrosse,Bristol Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/08dbf93c-6d63-4a5c-b3ac-07e1412579e7.png?versionId=RktdxyCpnVjWI5wMiK2A.9L4d5_3MXcX,assets/logos/bristol_youth_lacrosse.png,#e0e0e0,,extracted_logo,Parsed from CVYL club listing.; Only neutral logo colors were available.
Burlington Youth Lacrosse,Burlington Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/dcde6ff2-786f-4a5c-9709-833124b93be4.jpg?versionId=8D0E_WYa0CjeOXiXbW_o1QjbtMzYpCc9,assets/logos/burlington_youth_lacrosse.jpg,#0060a0,#c0e0e0,extracted_logo,Parsed from CVYL club listing.
Canton Youth Lacrosse,Canton Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/b36d4d21-c45a-495c-92c2-713086cf6078.jpg?versionId=dnzBtE_Sp9qHfKePiWPBvXrZXpFPCI_L,assets/logos/canton_youth_lacrosse.jpg,#600020,#602020,extracted_logo,Parsed from CVYL club listing.
Colchester Youth Lacrosse,Colchester Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/ebaad117-673e-4051-8791-4a4fb95139dc.jpg?versionId=6.FjqsX8YHbvFknvoPO9FsGDu.YcK6s8,assets/logos/colchester_youth_lacrosse.jpg,#c00000,#a00000,extracted_logo,Parsed from CVYL club listing.
East Longmeadow Boys Youth Lacrosse,East Longmeadow Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/c272506a-832e-439a-ac54-a626cf8ce365.jpg?versionId=1Urli1edUmZ8I3Ef0Yjxbg.k1o5za.mL,assets/logos/east_longmeadow_boys_youth_lacrosse.jpg,#400000,#600000,extracted_logo,Parsed from CVYL club listing.
Ellington Lacrosse,Ellington Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/38ac2027-ac8f-4b15-915d-68a0f60cc54b.jpg?versionId=eFAPcnzlSwUI2R4SMMzXxNkPL.8HTdgB,assets/logos/ellington_lacrosse.jpg,#e0e020,#402060,extracted_logo,Parsed from CVYL club listing.
Farmington Youth Lacrosse,Farmington Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/6a751b18-378b-43cb-88e8-ac6e7da1f066.png?versionId=msnDeADPICj53zJdEU24wC1B0jIRlu3u,assets/logos/farmington_youth_lacrosse.png,#600020,#400020,extracted_logo,Parsed from CVYL club listing.
Glastonbury Lacrosse Club,Glastonbury Lacrosse Club,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/20429076-a99b-46e5-9019-5bf1b9738bdd.jpg?versionId=wxP00JctbSS.67Zw2Qi5ZBwv9432GcGR,assets/logos/glastonbury_lacrosse_club.jpg,#0060a0,#c0e0e0,extracted_logo,Parsed from CVYL club listing.
Granby Youth Lacrosse,Granby; Granby 12U; Granby 12U Blue; Granby Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/c3449086-8be5-4884-bc7d-add740300d0f.jpeg?versionId=tBKuLAP1Ncbz63t45uQmy1TgM7JzKpUD,assets/logos/granby_youth_lacrosse.jpeg,#400020,#400000,extracted_logo,Generic youth club entry; safe for boys teams unless a boys-specific entry is added.; Parsed from CVYL club listing.
Longmeadow Boys Youth Lacrosse,Longmeadow Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/4d8869d5-afdf-4bc0-b551-10ef73d6fe0f.png?versionId=NvqJRiRkUSgjyAxdHdQIzZDwIvhwGk1n,assets/logos/longmeadow_boys_youth_lacrosse.png,#806060,,extracted_logo,Parsed from CVYL club listing.
Meriden United Youth Lacrosse,Meriden United Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/07ad58e7-be8d-4519-9df0-ba0fc02c6d33.jpg?versionId=4_l8qU8z1Bo40J075wblKp_DlBk4nwKy,assets/logos/meriden_united_youth_lacrosse.jpg,#202060,#202080,extracted_logo,Parsed from CVYL club listing.
Middletown Youth Lacrosse,Middletown Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/310f2669-1085-4c34-9a78-223bf985bce1.jpg?versionId=ddVbbiN4z1LNiUQjfgAJfvpUNGqrYtSM,assets/logos/middletown_youth_lacrosse.jpg,#80a0c0,#c0e0e0,extracted_logo,Parsed from CVYL club listing.
Minnechaug Youth Lacrosse,Minnechaug Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/2395f1c5-18db-407f-b841-51c15ccec35b.jpg?versionId=lXrkjn6NJTrZYStbpzy8TpSE3Zl5hNd_,assets/logos/minnechaug_youth_lacrosse.jpg,#004020,#204020,extracted_logo,Parsed from CVYL club listing.
Newington Youth Lacrosse,Newington Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/5db8191d-6940-4e14-b095-7a6074e72c0d.png?versionId=P7xXn2AAHqOllqumDaum8ZETrbxHQoOU,assets/logos/newington_youth_lacrosse.png,#202040,#806040,extracted_logo,Parsed from CVYL club listing.
Northampton Boys Youth Lacrosse,Northampton Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/27914e6a-b89f-4153-a856-c24e7fe1d86b.png?versionId=N.tV5MzBzthhsgTDwBu_CB4.wK4p6rLa,assets/logos/northampton_boys_youth_lacrosse.png,#004060,#e0a000,extracted_logo,Parsed from CVYL club listing.
RHAM Youth Lacrosse,RHAM Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/242ffa59-be47-498b-ae71-fe8207fd058c.jpg?versionId=3KZyDZtTeV64xDgF3ZZTl7GhmP5cXPOY,assets/logos/rham_youth_lacrosse.jpg,#e0a020,#e0a040,extracted_logo,Parsed from CVYL club listing.
Simsbury Youth Lacrosse,Simsbury; Simsbury 12U; Simsbury 12U A; Simsbury 12U Blue; Simsbury Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/e0f874b4-e6fe-48f4-8409-f6f9f948f162.png?versionId=yDzwvojIIPMSfgIP07p4xpxlAxxm3Vvu,assets/logos/simsbury_youth_lacrosse.png,#e0a020,#8080a0,extracted_logo,Generic youth club entry; safe for boys teams unless a boys-specific entry is added.; Parsed from CVYL club listing.
Somers Lacrosse,Somers Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/d260febd-f737-495f-98d4-f532ca497ec6.jpg?versionId=W6m13TnKixZJOnd86a7Hog8k0MZD8w6G,assets/logos/somers_lacrosse.jpg,#e02020,#e00020,extracted_logo,Parsed from CVYL club listing.
South Hadley Lacrosse,South Hadley Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/936be7ab-7eb6-40b9-8cd5-b68a0cfe64c2.png?versionId=19XULAMfdvc8m7wjYrWYCXeYibHJGIz2,assets/logos/south_hadley_lacrosse.png,#e06000,#e0a080,extracted_logo,Parsed from CVYL club listing.
South Windsor Boys Lacrosse,South Windsor Boys Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/5183552d-ce47-47a4-ab15-f7bfec3cf167.png?versionId=ihSpoT4LfgZtrhJi4_N6p_i5u3yp_MAX,assets/logos/south_windsor_boys_lacrosse.png,#e0a040,#402020,extracted_logo,Parsed from CVYL club listing.
Southington Lacrosse,Southington Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/94948767-96b2-447b-9a29-a93d62de0228.png?versionId=B34ftREiWWvGsHc3a8XmSwsGjqdPjmN3,assets/logos/southington_lacrosse.png,#0080c0,#004080,extracted_logo,Parsed from CVYL club listing.
Springfield Ballers,Springfield Ballers,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/65131a1b-8924-4af2-8b0d-7bbfa7fccb0b.png?versionId=CJ_gvJRImtRtZbbzO0_9MbZOzgyWzAN0,assets/logos/springfield_ballers.png,#c06000,#e08060,extracted_logo,Parsed from CVYL club listing.
Suffield Lacrosse,Suffield Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/4178e7eb-ec03-4e47-863c-533ce66e7207.png?versionId=9Bt5kV7_.Him1TvWBNd94BqSG856XqoE,assets/logos/suffield_lacrosse.png,#000040,#0060c0,extracted_logo,Parsed from CVYL club listing.
Tolland Lacrosse Club,Tolland Lacrosse Club,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/0ad43f7d-f409-4d47-9cab-db30c7ca0dcc.jpg?versionId=B5me.ev5nL_f7WDc2OqO2Ec2fKgjk_vM,assets/logos/tolland_lacrosse_club.jpg,#004060,#204060,extracted_logo,Parsed from CVYL club listing.
Vernon Lacrosse,Vernon Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/fe0b851b-42fc-4f12-b8ff-4a50c8b5bb2f.jpg?versionId=Xx7UBgBR88Xe3lW6LvDSvGgwebRkLCIR,assets/logos/vernon_lacrosse.jpg,#e0e0c0,#002080,extracted_logo,Parsed from CVYL club listing.
West Hartford Youth Lacrosse,West Hartford; West Hartford 12U; West Hartford 12U Green; West Hartford 12U Gold; West Hartford Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/7a5d2683-c7b2-4e37-b1ca-7216a8751f57.png?versionId=r67Ocaqp0_vmzSCQg9yjw.mZ2Q1qRXRr,assets/logos/west_hartford_youth_lacrosse.png,#006020,#004020,extracted_logo,Generic youth club entry; safe for boys teams unless a boys-specific entry is added.; Parsed from CVYL club listing.
West Springfield Boys Youth Lacrosse,West Springfield Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/404e346a-e982-4fc4-ba77-4f13af3e8d38.jpg?versionId=_urkODikZlN0DaEfYf_QTf7zXzWlyBpd,assets/logos/west_springfield_boys_youth_lacrosse.jpg,#0020a0,#002080,extracted_logo,Parsed from CVYL club listing.
Westfield Youth Lacrosse,Westfield Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/3ff88bbe-710e-4f3e-bc03-5b6676ace1fb.png?versionId=WOB85hsesaVOvlFjHSNeI7PycfYbLmpr,assets/logos/westfield_youth_lacrosse.png,#a00020,#c00020,extracted_logo,Parsed from CVYL club listing.
Wethersfield Youth Lacrosse,Wethersfield Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/05ef09d2-9368-4108-9344-fb5a208f7fca.jpeg?versionId=THFcQytzFDucjPU6s5ARYdD2lZL3QAQb,assets/logos/wethersfield_youth_lacrosse.jpeg,#002040,#000040,extracted_logo,Parsed from CVYL club listing.
Wolcott Youth Lacrosse,Wolcott Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/c3b11b05-6dfe-4c98-af47-3ff1865ddfe5.png?versionId=Vkv3qpr3kRPW4XS26ZS7cdeQeL6d1LXN,assets/logos/wolcott_youth_lacrosse.png,#c02020,#c00020,extracted_logo,Parsed from CVYL club listing.
