audit_focus,game_id,game_date,home_team,away_team,home_score,away_score,actual_winner,power_predicted_winner,poisson_predicted_winner,hybrid_predicted_winner,power_v3_calibrated_home_probability,poisson_home_win_probability,absolute_probability_gap,directional_disagreement,disagreement_tier,expected_margin,actual_margin,margin_mae,total_goals_mae,poisson_close_game_probability,poisson_upset_probability,hybrid_confidence_score,hybrid_confidence_tier,upset_risk,should_reduce_confidence
power_right_poisson_wrong,cbc0a9e2e481ce52,2026-04-29,Newington 12U,Vernon 12U,4,8,Vernon 12U,Vernon 12U,Newington 12U,Vernon 12U,0.4683619766396242,0.9689,0.5005380233603758,True,extreme,7.413519998226532,-4.0,11.413519998226532,4.157362859233643,0.1033,0.0218,38.91,low,elevated,False
power_right_poisson_wrong,42f096cf25d21849,2026-04-26,Avon 12U,West Hartford 12U Gold,5,8,West Hartford 12U Gold,West Hartford 12U Gold,Avon 12U,West Hartford 12U Gold,0.4109248414437508,0.8875,0.47657515855624916,True,extreme,4.1432883911863065,-3.0,7.1432883911863065,1.0728173707391375,0.3002,0.0843,66.52,medium,low,True
power_right_poisson_wrong,072bfa5e327b2480,2026-04-26,Somers 12U White,Simsbury 12U A,20,5,Somers 12U White,Somers 12U White,Simsbury 12U A,Somers 12U White,0.53610762728886,0.08055,0.45555762728885996,True,extreme,-5.148362434181103,15.0,20.148362434181102,10.850602465583506,0.2163,0.0622,26.78,low,elevated,False
power_right_poisson_wrong,3bf2d41b33a33585,2026-04-25,Westfield 12U Black,Minnechaug 12U White,2,9,Minnechaug 12U White,Minnechaug 12U White,Westfield 12U Black,Minnechaug 12U White,0.4613089495475724,0.88705,0.4257410504524276,True,extreme,3.937190490429963,-7.0,10.937190490429964,0.4308539778816644,0.3163,0.0838,56.09,low,moderate,False
power_right_poisson_wrong,3651cbf6a3ac00f4,2026-04-23,West Hartford 12U Gold,Farmington 12U Black,16,0,West Hartford 12U Gold,West Hartford 12U Gold,Farmington 12U Black,West Hartford 12U Gold,0.5655920253890571,0.1553,0.41029202538905707,True,extreme,-3.8784910449008194,16.0,19.87849104490082,1.7495294662892462,0.3234,0.1215,66.58,medium,low,True
power_right_poisson_wrong,8b72e2246a5ce728,2026-05-01,Wolcott 12U,Middletown 12U,11,4,Wolcott 12U,Wolcott 12U,Middletown 12U,Wolcott 12U,0.5660247985927952,0.19955,0.3664747985927952,True,extreme,-3.073191385433879,7.0,10.07319138543388,1.1697633813469397,0.3804,0.1598,38.06,low,elevated,False
power_right_poisson_wrong,1048a8626adef5ff,2026-05-06,South Windsor 12U,Somers 12U White,4,14,Somers 12U White,Somers 12U White,South Windsor 12U,Somers 12U White,0.4788745629042715,0.84015,0.36127543709572846,True,extreme,3.474927699854864,-10.0,13.474927699854865,6.075742207008531,0.3552,0.1233,48.54,low,moderate,False
power_right_poisson_wrong,fbbd696c97a71b1b,2026-05-03,Farmington 12U Black,Wethersfield 12U A,3,10,Wethersfield 12U A,Wethersfield 12U A,Farmington 12U Black,Wethersfield 12U A,0.4527021637717613,0.7988999999999999,0.34619783622823863,True,high,3.336312380912929,-7.0,10.33631238091293,3.41535032683025,0.3471,0.1678,35.46,low,elevated,False
power_right_poisson_wrong,b2db52ab321da508,2026-05-05,Northampton 12U,Belchertown 12U,6,7,Belchertown 12U,Belchertown 12U,Northampton 12U,Belchertown 12U,0.4904600370797962,0.8317,0.3412399629202038,True,high,3.3438293745204257,-1.0,4.343829374520426,0.846277334117449,0.3626,0.132,56.349999999999994,low,moderate,False
power_right_poisson_wrong,2589d952bb384ca7,2026-04-27,Minnechaug 12U,Longmeadow 12U Black,11,2,Minnechaug 12U,Minnechaug 12U,Longmeadow 12U Black,Minnechaug 12U,0.5831856780283348,0.2421499999999999,0.3410356780283349,True,high,-2.7822688864988674,9.0,11.782268886498867,2.5535748621159815,0.3814,0.2007,29.03,low,elevated,False
power_right_poisson_wrong,97c34c6bbcbb0a44,2026-05-01,East Longmeadow 12U A,Minnechaug 12U,4,16,Minnechaug 12U,Minnechaug 12U,East Longmeadow 12U A,Minnechaug 12U,0.2259864363939874,0.5207499999999999,0.2947635636060125,True,high,0.2048917135607011,-12.0,12.204891713560702,9.841543973843706,0.5726,0.4173,66.28,medium,low,True
power_right_poisson_wrong,4b79b06df5378d3b,2026-04-28,South Hadley 12U,Belchertown 12U,7,8,Belchertown 12U,Belchertown 12U,South Hadley 12U,Belchertown 12U,0.4661581532575062,0.7604,0.29424184674249376,True,high,2.174883411230821,-1.0,3.174883411230821,5.641544850731103,0.4967,0.1847,67.54,medium,low,True
power_right_poisson_wrong,42596b71e414a689,2026-05-08,Southington 12U White,Farmington 12U Red,1,7,Farmington 12U Red,Farmington 12U Red,Southington 12U White,Farmington 12U Red,0.4836918631950917,0.77455,0.29085813680490824,True,high,2.6184487392724165,-6.0,8.618448739272417,4.077440324840897,0.4167,0.1821,38.22,low,elevated,False
power_right_poisson_wrong,bb5e79aa53ad144c,2026-04-24,Berlin 12U A,Wolcott 12U,2,4,Wolcott 12U,Wolcott 12U,Berlin 12U A,Wolcott 12U,0.4901489761657123,0.76915,0.2790010238342877,True,high,2.415047048135273,-2.0,4.415047048135273,4.42289892667875,0.4586,0.1814,58.010000000000005,medium,moderate,True
power_right_poisson_wrong,b3740402c9666a1a,2026-04-26,Minnechaug 12U White,Suffield 12U White,4,2,Minnechaug 12U White,Minnechaug 12U White,Suffield 12U White,Minnechaug 12U White,0.5101554307500433,0.2377,0.2724554307500433,True,high,-2.382001554040966,2.0,4.382001554040966,5.944547267299413,0.4334,0.1921,37.84,low,elevated,False
poisson_right_power_wrong,b0e9706b9dc83d58,2026-05-02,Simsbury 12U A,Granby 12U,9,4,Simsbury 12U A,Granby 12U,Simsbury 12U A,Granby 12U,0.4928078485463397,0.91235,0.4195421514536603,True,extreme,4.746670921277426,5.0,0.2533290787225741,0.473623304536412,0.244,0.0637,39.53,low,elevated,False
poisson_right_power_wrong,2b33716b4f521aa2,2026-04-28,Agawam 12U,East Longmeadow 12U A,13,9,Agawam 12U,East Longmeadow 12U A,Agawam 12U,East Longmeadow 12U A,0.4458058768228234,0.8078,0.36199412317717655,True,extreme,2.611958173817819,4.0,1.3880418261821812,12.906692821205786,0.4502,0.1434,55.81999999999999,low,moderate,False
poisson_right_power_wrong,485a34f801dee5c7,2026-05-01,Berlin 12U A,Bristol 12U,6,2,Berlin 12U A,Bristol 12U,Berlin 12U A,Bristol 12U,0.4448594365105918,0.77165,0.32679056348940816,True,high,2.3594507008640124,4.0,1.6405492991359876,1.474853448421431,0.4763,0.1747,55.81999999999999,low,moderate,False
poisson_right_power_wrong,ab81ff7374e75252,2026-04-29,Simsbury 12U Blue,West Hartford 12U White,10,6,Simsbury 12U Blue,West Hartford 12U White,Simsbury 12U Blue,West Hartford 12U White,0.482381421312668,0.8028500000000001,0.3204685786873321,True,high,2.8862920176055287,4.0,1.113707982394471,4.348522379617009,0.4017,0.155,49.93000000000001,low,moderate,False
poisson_right_power_wrong,c015fc060c5fdc98,2026-04-22,Southington 12U Blue,Wolcott 12U,9,3,Southington 12U Blue,Wolcott 12U,Southington 12U Blue,Wolcott 12U,0.4737152570856133,0.7291,0.2553847429143867,True,high,1.8831788716583449,6.0,4.116821128341655,2.8207426957737844,0.5196,0.2134,31.72,low,elevated,False
poisson_right_power_wrong,63a55d34ac9f6cb2,2026-05-03,Middletown 12U,Berlin 12U A,4,3,Middletown 12U,Berlin 12U A,Middletown 12U,Berlin 12U A,0.4055067274507558,0.6436000000000001,0.23809327254924428,True,high,1.3366058186499918,1.0,0.3366058186499918,5.244255339882368,0.4912,0.3042,53.739999999999995,low,moderate,False
poisson_right_power_wrong,54c2dffcc1d63ff4,2026-04-26,Farmington 12U Red,Simsbury 12U Blue,8,1,Farmington 12U Red,Simsbury 12U Blue,Farmington 12U Red,Simsbury 12U Blue,0.4654578550611856,0.6982,0.23274214493881445,True,high,1.5821849747995085,7.0,5.4178150252004915,0.4641906227909516,0.5289,0.2464,52.790000000000006,low,moderate,False
poisson_right_power_wrong,79234c725f75b9a8,2026-04-26,Wethersfield 12U A,Glastonbury 12U White,9,8,Wethersfield 12U A,Glastonbury 12U White,Wethersfield 12U A,Glastonbury 12U White,0.4975582790555797,0.65935,0.1617917209444203,True,medium,1.262230448910712,1.0,0.2622304489107119,7.271370436656333,0.553,0.2789,45.77,low,moderate,False
poisson_right_power_wrong,e260cfafeb9a0887,2026-04-27,Southington 12U White,West Hartford 12U White,7,1,Southington 12U White,West Hartford 12U White,Southington 12U White,West Hartford 12U White,0.4649451098399262,0.60445,0.13950489016007384,True,medium,0.8754252774843128,6.0,5.124574722515687,3.887502554770792,0.5138,0.341,55.36,low,moderate,False
poisson_right_power_wrong,616512d7fe4b14aa,2026-04-25,Ellington 12U,Vernon 12U,7,5,Ellington 12U,Vernon 12U,Ellington 12U,Vernon 12U,0.4735761716112274,0.5708,0.09722382838877258,True,low,0.4912081903872787,2.0,1.5087918096127213,4.276627148563484,0.6364,0.3609,57.72,medium,moderate,False
both_wrong,b9f6da52361d9b5e,2026-04-24,Simsbury 12U A,Wethersfield 12U A,9,11,Wethersfield 12U A,Simsbury 12U A,Simsbury 12U A,Simsbury 12U A,0.5,0.9728,0.4728,False,extreme,6.837540476463786,-2.0,8.837540476463786,6.505916484796103,0.1098,0.0186,65.81,medium,moderate,False
both_wrong,f1bce42044c64e75,2026-05-09,Wolcott 12U,Burlington 12U,12,2,Wolcott 12U,Burlington 12U,Burlington 12U,Burlington 12U,0.4770597654103344,0.1722,0.30485976541033444,False,high,-3.635759338634994,10.0,13.635759338634994,0.1615962520246263,0.3385,0.1369,58.23,low,moderate,False
both_wrong,122a20e601ca951b,2026-05-07,Agawam 12U,Longmeadow 12U Black,1,11,Longmeadow 12U Black,Agawam 12U,Agawam 12U,Agawam 12U,0.6163093596468409,0.90705,0.29074064035315916,False,high,4.8797100671769185,-10.0,14.87971006717692,1.7115215223114326,0.247,0.0699,49.03,low,elevated,False
both_wrong,6492fbf7bb2df32d,2026-04-27,Westfield 12U Black,East Longmeadow 12U White,8,8,Tie,East Longmeadow 12U White,Westfield 12U Black,East Longmeadow 12U White,0.4733228934616877,0.7604000000000001,0.28707710653831237,True,high,2.217335659430025,0.0,2.217335659430025,5.8270844646447575,0.4734,0.1895,50.98,low,moderate,False
both_wrong,c09881889401d47d,2026-04-24,Southington 12U White,Bristol 12U,2,7,Bristol 12U,Southington 12U White,Southington 12U White,Southington 12U White,0.566182892281578,0.8422999999999999,0.2761171077184219,False,high,3.174632078205706,-5.0,8.174632078205706,0.5900217534604124,0.3876,0.1183,76.49,medium,low,False
both_wrong,8a8779819c7d74d1,2026-05-04,Westfield 12U Red,Minnechaug 12U,3,6,Minnechaug 12U,Westfield 12U Red,Westfield 12U Red,Westfield 12U Red,0.5872776204164096,0.79955,0.21227237958359035,False,medium,2.8715538183832585,-3.0,5.8715538183832585,2.6676479644610573,0.4153,0.1586,64.77,medium,moderate,False
both_wrong,c8f7e9bb590e3579,2026-05-05,East Longmeadow 12U A,Longmeadow 12U Black,6,4,East Longmeadow 12U A,Longmeadow 12U Black,Longmeadow 12U Black,Longmeadow 12U Black,0.384720005199242,0.22745,0.15727000519924197,False,medium,-2.802284259386525,2.0,4.802284259386525,4.049388844169247,0.3971,0.1857,47.73,low,elevated,False
both_wrong,b8cfe4cdda448e90,2026-04-29,Somers 12U Red,Longmeadow 12U White,5,3,Somers 12U Red,Longmeadow 12U White,Longmeadow 12U White,Longmeadow 12U White,0.4868992956546107,0.3759,0.1109992956546107,False,medium,-1.132123539448095,2.0,3.132123539448095,5.074998140409754,0.4894,0.3246,63.34,medium,moderate,False
both_wrong,87d62cb0eb1cec38,2026-04-29,Suffield 12U,Westfield 12U Red,5,9,Westfield 12U Red,Suffield 12U,Suffield 12U,Suffield 12U,0.537895114874779,0.62915,0.09125488512522095,False,low,1.2866170868293487,-4.0,5.286617086829349,2.0112881442583728,0.4537,0.3197,65.95,medium,moderate,False
both_wrong,247f02c6f787cac0,2026-04-30,Westfield 12U Black,Agawam 12U,6,8,Agawam 12U,Westfield 12U Black,Westfield 12U Black,Westfield 12U Black,0.5406896251225375,0.62905,0.08836037487746251,False,low,1.1463343660056946,-2.0,3.1463343660056946,1.982255519278473,0.5056,0.3181,67.12,medium,moderate,False
both_wrong,f4251bbac3d2907f,2026-05-09,Middletown 12U,Newington 12U,3,5,Newington 12U,Middletown 12U,Middletown 12U,Middletown 12U,0.5329476532517484,0.619,0.08605234674825157,False,low,1.1472288647140036,-2.0,3.1472288647140036,4.011523506471862,0.508,0.3264,67.55,medium,moderate,False
both_wrong,6ea0f27283433899,2026-05-09,Bristol 12U,Meriden 12U,3,8,Meriden 12U,Bristol 12U,Bristol 12U,Bristol 12U,0.515446749471858,0.5610499999999999,0.04560325052814196,False,low,0.5253881625688903,-5.0,5.52538816256889,1.0061794779020516,0.5371,0.3804,59.34,low,elevated,False
both_wrong,d96b7202084f33d1,2026-05-07,Somers 12U Red,Suffield B,5,6,Suffield B,Somers 12U Red,Somers 12U Red,Somers 12U Red,0.5085078894855053,0.5459,0.03739211051449476,False,low,0.3860158958994475,-1.0,1.3860158958994475,0.8272351236326543,0.5359,0.3966,65.33,low,moderate,False
both_wrong,891dd55ea3c8ae28,2026-04-25,Avon 12U,Southington 12U Blue,8,3,Avon 12U,Southington 12U Blue,Southington 12U Blue,Southington 12U Blue,0.3832115401483276,0.34935,0.033861540148327596,False,low,-1.2698513314828972,5.0,6.269851331482897,0.6595580937740699,0.5438,0.2936,84.91,medium,low,False
both_wrong,66b11ff9f3979316,2026-05-08,Belchertown 12U,Minnechaug 12U White,8,4,Belchertown 12U,Minnechaug 12U White,Minnechaug 12U White,Minnechaug 12U White,0.2561299017028875,0.2724499999999999,0.016320098297112395,False,low,-2.1257551630016485,4.0,6.1257551630016485,0.4100188897855013,0.4576,0.2244,71.73,medium,moderate,False
should_reduce_confidence,42f096cf25d21849,2026-04-26,Avon 12U,West Hartford 12U Gold,5,8,West Hartford 12U Gold,West Hartford 12U Gold,Avon 12U,West Hartford 12U Gold,0.4109248414437508,0.8875,0.47657515855624916,True,extreme,4.1432883911863065,-3.0,7.1432883911863065,1.0728173707391375,0.3002,0.0843,66.52,medium,low,True
should_reduce_confidence,3651cbf6a3ac00f4,2026-04-23,West Hartford 12U Gold,Farmington 12U Black,16,0,West Hartford 12U Gold,West Hartford 12U Gold,Farmington 12U Black,West Hartford 12U Gold,0.5655920253890571,0.1553,0.41029202538905707,True,extreme,-3.8784910449008194,16.0,19.87849104490082,1.7495294662892462,0.3234,0.1215,66.58,medium,low,True
should_reduce_confidence,97c34c6bbcbb0a44,2026-05-01,East Longmeadow 12U A,Minnechaug 12U,4,16,Minnechaug 12U,Minnechaug 12U,East Longmeadow 12U A,Minnechaug 12U,0.2259864363939874,0.5207499999999999,0.2947635636060125,True,high,0.2048917135607011,-12.0,12.204891713560702,9.841543973843706,0.5726,0.4173,66.28,medium,low,True
should_reduce_confidence,4b79b06df5378d3b,2026-04-28,South Hadley 12U,Belchertown 12U,7,8,Belchertown 12U,Belchertown 12U,South Hadley 12U,Belchertown 12U,0.4661581532575062,0.7604,0.29424184674249376,True,high,2.174883411230821,-1.0,3.174883411230821,5.641544850731103,0.4967,0.1847,67.54,medium,low,True
should_reduce_confidence,bb5e79aa53ad144c,2026-04-24,Berlin 12U A,Wolcott 12U,2,4,Wolcott 12U,Wolcott 12U,Berlin 12U A,Wolcott 12U,0.4901489761657123,0.76915,0.2790010238342877,True,high,2.415047048135273,-2.0,4.415047048135273,4.42289892667875,0.4586,0.1814,58.010000000000005,medium,moderate,True
should_reduce_confidence,f2e6bb9a1fe3f41a,2026-04-30,Ellington 12U,Somers 12U White,1,7,Somers 12U White,Somers 12U White,Ellington 12U,Somers 12U White,0.332272293755826,0.56795,0.23567770624417395,True,high,0.5045782443141604,-6.0,6.50457824431416,2.509025490509476,0.5546,0.3734,59.459999999999994,medium,moderate,True
