game_id,home_goals_p10,home_goals_p50,home_goals_p90,away_goals_p10,away_goals_p50,away_goals_p90,total_goals_p10,total_goals_p50,total_goals_p90,margin_p10,margin_p50,margin_p90,analysis_type,model,bucket,games,average_expected_total,average_actual_total,average_total_error,score_mae,margin_mae,total_goals_mae
c015fc060c5fdc98,3.0,5.0,9.0,1.0,3.0,6.0,5.0,9.0,13.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
3651cbf6a3ac00f4,2.0,5.0,8.0,5.0,9.0,13.0,9.0,14.0,19.0,-9.0,-4.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
725324c21d412671,9.0,13.0,18.0,1.0,2.0,4.0,11.0,16.0,21.0,6.0,11.0,16.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b9f6da52361d9b5e,6.0,10.0,14.0,1.0,3.0,6.0,9.0,13.0,18.0,2.0,7.0,12.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
bb5e79aa53ad144c,3.0,6.0,10.0,2.0,4.0,7.0,6.0,10.0,15.0,-2.0,2.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c09881889401d47d,3.0,6.0,10.0,1.0,3.0,6.0,6.0,9.0,14.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e5fe74c3450b96be,7.0,11.0,16.0,1.0,4.0,6.0,10.0,15.0,20.0,3.0,8.0,13.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
2c16475e59ca2df5,4.0,8.0,12.0,2.0,5.0,8.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
3bf2d41b33a33585,4.0,7.0,11.0,1.0,3.0,6.0,6.0,10.0,15.0,0.0,4.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
616512d7fe4b14aa,2.0,4.0,7.0,1.0,3.0,6.0,4.0,8.0,11.0,-3.0,1.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
891dd55ea3c8ae28,2.0,4.0,7.0,3.0,6.0,9.0,6.0,10.0,15.0,-5.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
8b43b577819bdcab,2.0,5.0,8.0,2.0,5.0,8.0,6.0,10.0,15.0,-4.0,0.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
91bb3d8d88b59b33,5.0,9.0,13.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e41c1bef3e9002e6,2.0,5.0,8.0,3.0,5.0,9.0,6.0,10.0,15.0,-5.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
072bfa5e327b2480,2.0,4.0,7.0,6.0,10.0,14.0,9.0,14.0,19.0,-10.0,-5.0,-1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1e090b21cb3dc379,3.0,5.0,9.0,3.0,6.0,9.0,7.0,11.0,16.0,-5.0,-1.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
42f096cf25d21849,5.0,8.0,12.0,2.0,4.0,6.0,8.0,12.0,16.0,0.0,4.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
54c2dffcc1d63ff4,3.0,5.0,9.0,2.0,4.0,7.0,6.0,9.0,14.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
771b4767d7a54ca4,3.0,6.0,10.0,2.0,4.0,7.0,6.0,10.0,14.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
79234c725f75b9a8,3.0,5.0,9.0,2.0,4.0,7.0,6.0,10.0,14.0,-3.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
95fea15e499542c7,3.0,6.0,9.0,6.0,10.0,14.0,11.0,16.0,21.0,-9.0,-4.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b3740402c9666a1a,2.0,5.0,8.0,4.0,7.0,11.0,8.0,12.0,16.0,-7.0,-2.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c815a379a792b9e3,5.0,8.0,12.0,3.0,6.0,10.0,10.0,14.0,19.0,-3.0,2.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
2589d952bb384ca7,3.0,6.0,10.0,5.0,9.0,13.0,11.0,15.0,21.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6492fbf7bb2df32d,3.0,6.0,10.0,2.0,4.0,7.0,6.0,10.0,14.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
69988470e0ef2a00,3.0,6.0,9.0,3.0,5.0,9.0,7.0,11.0,16.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
8f9432596e3c38a9,2.0,4.0,7.0,1.0,3.0,6.0,5.0,8.0,12.0,-2.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e260cfafeb9a0887,3.0,6.0,10.0,3.0,5.0,9.0,8.0,12.0,16.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
2b33716b4f521aa2,3.0,6.0,9.0,1.0,3.0,6.0,5.0,9.0,13.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
3be49081041bd4ba,8.0,12.0,17.0,1.0,2.0,5.0,10.0,15.0,20.0,5.0,9.0,14.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4b79b06df5378d3b,3.0,6.0,9.0,1.0,3.0,6.0,6.0,9.0,13.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4d7dc39c0a1c1123,5.0,8.0,12.0,1.0,3.0,6.0,8.0,12.0,16.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6dbce7b1c0f48074,3.0,6.0,9.0,4.0,7.0,11.0,8.0,13.0,18.0,-6.0,-2.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
dc66565cc0513128,3.0,6.0,9.0,3.0,6.0,9.0,8.0,12.0,17.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e520d55cebe7b092,4.0,8.0,11.0,2.0,5.0,8.0,8.0,13.0,17.0,-2.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
19ced5952cdbcd5a,2.0,5.0,8.0,1.0,3.0,6.0,5.0,8.0,12.0,-2.0,2.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
502a2651ccd24c37,3.0,6.0,9.0,2.0,4.0,7.0,6.0,10.0,14.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
87d62cb0eb1cec38,5.0,8.0,12.0,4.0,7.0,11.0,11.0,16.0,21.0,-4.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
ab81ff7374e75252,4.0,7.0,11.0,2.0,4.0,7.0,7.0,11.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b8cfe4cdda448e90,3.0,6.0,9.0,4.0,7.0,11.0,9.0,13.0,18.0,-6.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c5a1d57eb4e33346,5.0,9.0,13.0,2.0,4.0,7.0,8.0,13.0,17.0,0.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
cbc0a9e2e481ce52,7.0,12.0,16.0,2.0,4.0,7.0,11.0,16.0,21.0,2.0,7.0,13.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
247f02c6f787cac0,3.0,6.0,10.0,3.0,5.0,8.0,8.0,12.0,17.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4c35cd9df207f850,2.0,4.0,7.0,1.0,3.0,5.0,4.0,7.0,11.0,-2.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
5930e72177aa6fe6,5.0,9.0,13.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
69b9c4bbc5fd0a96,7.0,11.0,15.0,1.0,3.0,6.0,10.0,14.0,20.0,3.0,7.0,12.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
df05d6c6dca12cd6,5.0,8.0,12.0,2.0,4.0,7.0,8.0,12.0,17.0,0.0,5.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f2e6bb9a1fe3f41a,3.0,5.0,9.0,2.0,5.0,8.0,6.0,10.0,15.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
485a34f801dee5c7,3.0,6.0,9.0,1.0,3.0,6.0,6.0,9.0,13.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
8b72e2246a5ce728,3.0,5.0,8.0,5.0,8.0,12.0,9.0,14.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
9607ceec5c868a57,5.0,9.0,13.0,3.0,6.0,9.0,10.0,14.0,20.0,-2.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
97c34c6bbcbb0a44,2.0,5.0,8.0,2.0,5.0,8.0,6.0,10.0,14.0,-4.0,0.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
2085dacc82877b69,3.0,6.0,10.0,2.0,5.0,8.0,7.0,11.0,16.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
302eb1dcb8003867,3.0,5.0,8.0,5.0,8.0,12.0,9.0,13.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
355a5457f34c1c2c,3.0,6.0,9.0,5.0,9.0,13.0,10.0,14.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b0e9706b9dc83d58,5.0,9.0,13.0,2.0,4.0,7.0,8.0,12.0,17.0,0.0,5.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
d9cc3c6eac670ce6,5.0,9.0,13.0,2.0,4.0,7.0,9.0,13.0,18.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
dff8b2aa3b2aa89e,4.0,7.0,10.0,3.0,6.0,9.0,8.0,13.0,18.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
fd6ce41f0a0d9173,3.0,5.0,9.0,2.0,4.0,7.0,6.0,10.0,14.0,-3.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
19fa9b98436540af,3.0,5.0,9.0,5.0,9.0,13.0,10.0,14.0,20.0,-8.0,-3.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1f5790410d92377e,4.0,7.0,11.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
388b6189878496a4,5.0,9.0,13.0,2.0,4.0,8.0,9.0,13.0,18.0,-1.0,4.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4da350718624b6ed,2.0,5.0,8.0,5.0,8.0,12.0,9.0,13.0,18.0,-8.0,-3.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
63a55d34ac9f6cb2,4.0,7.0,10.0,3.0,5.0,9.0,8.0,12.0,17.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
887c2c4fe584fc29,3.0,6.0,10.0,2.0,5.0,8.0,7.0,12.0,16.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
fbbd696c97a71b1b,6.0,10.0,14.0,3.0,6.0,10.0,11.0,16.0,22.0,-2.0,3.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
0ad70d3d180f9737,3.0,5.0,9.0,2.0,5.0,8.0,7.0,11.0,15.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
8a8779819c7d74d1,4.0,7.0,11.0,2.0,4.0,7.0,7.0,11.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e52bb8d442e74ffa,4.0,7.0,11.0,2.0,4.0,7.0,8.0,12.0,16.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
aa871ccbefa577c5,3.0,6.0,10.0,2.0,5.0,8.0,7.0,11.0,16.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b2db52ab321da508,4.0,8.0,11.0,2.0,4.0,7.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c8f7e9bb590e3579,3.0,5.0,9.0,5.0,8.0,12.0,9.0,14.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e4d831c631270100,5.0,8.0,12.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1048a8626adef5ff,4.0,8.0,11.0,2.0,4.0,7.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
490b6386fc0bec82,2.0,5.0,8.0,3.0,6.0,10.0,7.0,11.0,16.0,-5.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
cf07d773e14b264a,3.0,6.0,9.0,4.0,7.0,10.0,8.0,12.0,17.0,-6.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
0233589df3007f39,2.0,5.0,8.0,4.0,8.0,11.0,9.0,13.0,18.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
122a20e601ca951b,5.0,9.0,13.0,2.0,4.0,7.0,9.0,13.0,19.0,0.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
d96b7202084f33d1,3.0,6.0,9.0,3.0,6.0,9.0,8.0,12.0,16.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
fc4520e84414c277,4.0,7.0,11.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,2.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
42596b71e414a689,4.0,7.0,11.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
66b11ff9f3979316,2.0,5.0,8.0,4.0,7.0,11.0,8.0,12.0,17.0,-7.0,-2.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e18fd02ae77e13cb,4.0,7.0,11.0,2.0,4.0,7.0,8.0,12.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
fa3465388573d634,2.0,5.0,8.0,4.0,8.0,12.0,8.0,13.0,18.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4a382d3304b60238,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6b250c9e87ed2153,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6ea0f27283433899,3.0,6.0,10.0,3.0,6.0,9.0,8.0,12.0,17.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
7a3375828320c9eb,3.0,6.0,9.0,4.0,7.0,10.0,8.0,12.0,17.0,-5.0,-1.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f1bce42044c64e75,2.0,5.0,8.0,5.0,9.0,13.0,9.0,14.0,19.0,-8.0,-4.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f4251bbac3d2907f,3.0,6.0,10.0,3.0,5.0,9.0,8.0,12.0,16.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
082d3835323f91b7,3.0,6.0,9.0,3.0,6.0,9.0,8.0,12.0,17.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c2feb0da40937837,3.0,6.0,10.0,2.0,5.0,8.0,7.0,12.0,16.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f5de61c3d069709c,6.0,9.0,14.0,1.0,4.0,6.0,9.0,13.0,18.0,1.0,6.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
22bbf2afe92d9de3,3.0,6.0,9.0,3.0,5.0,9.0,8.0,12.0,16.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b4d80cff366a8d44,3.0,5.0,9.0,4.0,7.0,11.0,8.0,12.0,17.0,-6.0,-2.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
ceb132d6d7f70515,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
d381cbfe385c039f,5.0,9.0,13.0,1.0,4.0,6.0,8.0,13.0,18.0,1.0,6.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
0893268810469108,3.0,5.0,9.0,5.0,8.0,12.0,9.0,14.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1a985386ba4c6b69,4.0,8.0,11.0,2.0,5.0,8.0,8.0,12.5,17.0,-2.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
5c05511095b052a4,5.0,9.0,13.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
24480a4327977f5a,4.0,7.0,11.0,2.0,4.0,7.0,7.0,11.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
532fd5e2eab9093d,4.0,8.0,11.0,2.0,4.0,7.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
880f09678b462075,2.0,5.0,8.0,4.0,8.0,11.0,8.0,13.0,17.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,6-9,4.0,8.017592350931107,10.75,-2.732407649068892,4.030314789748209,4.383010332985897,6.302193880553306
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,9-12,38.0,10.864362373270131,12.31578947368421,-1.4514271004140822,3.194603714866787,4.98300397528939,3.670509698433846
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,12-15,54.0,12.99786343315284,12.61111111111111,0.3867523220417297,3.191785287863121,5.072338349658963,3.551244969519275
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,15+,7.0,15.833737879398333,12.142857142857142,3.6908807365411915,3.8531511598600607,7.220441103283274,3.6908807365411915
,,,,,,,,,,,,,overall,calibrated_poisson,all,103.0,12.210067282854672,12.398058252427184,-0.1879909695725141,3.2703365435685416,5.1585975825000725,3.7115683259468795
